Query,Language,Intent,Response,Symptom,Condition,Recommendation (Condition),Age,Gender,Health Condition
How does alcohol affect blood pressure?,English,information_request_for_hypertension,"Alcohol can raise blood pressure, especially when consumed in large amounts. Regular consumption may lead to chronic hypertension.",Dizziness,hypertension,Limit alcohol intake and monitor your blood pressure regularly to maintain health.,55.0,Male,hypertension
මට දියවැඩියාව පාලනය සඳහා ග්ලූකෝස් අඩු ආහාර මොනවාද?,Sinhala,food_advice_for_diabetes,"දියවැඩියාව පාලනය කිරීම සඳහා ග්ලූකෝස් අඩු ආහාර, පලා වර්ග සහ සම්පූර්ණ බෝධී ආහාර භාවිතා කරන්න.",Frequent urination,diabetes,"Focus on whole grains, lean meats, and plenty of non-starchy vegetables.",50.0,Female,diabetes
How can I prevent complications from hypertension?,English,recommendation_for_hypertension,"Monitor blood pressure regularly, take prescribed medications, reduce salt intake, and stay physically active.",Fatigue,hypertension,"Avoid high-sodium foods, reduce stress, and maintain an active lifestyle.",60.0,Male,hypertension
මට පීඩන මිනුම පාලනය සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_hypertension,පීඩන මිනුම පාලනය සඳහා ග්ලූකෝස් අඩු සහ පෝෂ්‍යශාක ආහාර භාවිතා කරන්න.,Dizziness,hypertension,"Reduce processed foods, eat potassium-rich vegetables, and stay hydrated.",50.0,Male,hypertension
How does regular exercise affect hypertension?,English,information_request_for_hypertension,"Exercise helps improve circulation, lowers blood pressure, and strengthens the heart, leading to better overall health.",Fatigue,hypertension,"Engage in moderate-intensity exercises such as walking, swimming, or cycling.",50.0,Female,hypertension
How can I control high blood pressure without medication?,English,recommendation_for_hypertension,"Exercise regularly, reduce sodium intake, and increase potassium-rich foods.",Dizziness,hypertension,Practice stress-reduction techniques and monitor blood pressure regularly.,55.0,Female,hypertension
මට දියවැඩියාව පාලනය කිරීමට උචිත ආහාර මොනවාද?,Sinhala,food_advice_for_diabetes,දියවැඩියාව පාලනය කිරීමට පෝෂ්‍ය පෘෂ්ඨ සහ අඩු ග්ලයිසෙමික ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,Include high-fiber foods like oats and vegetables in your meals.,50.0,Male,diabetes
What foods are good for heart health?,English,food_advice,"Omega-3 fatty acids found in fish, whole grains, and vegetables are good for heart health.",Chest discomfort,heart_disease,Avoid trans fats and increase intake of heart-healthy fats like olive oil.,60.0,Female,general
මට රුධිර පීඩනය පාලනය කිරීමට මනෝපදේශ ලබාගන්න.,Sinhala,help_request_for_hypertension,අධි රුධිර පීඩනය පාලනය සඳහා අඩු ලවණ ආහාර සහ මනෝවිද්‍යා අරමුණු පිරික්සීමේ ක්‍රම භාවිතා කරන්න.,Headache,hypertension,Focus on relaxation techniques and low-sodium foods.,55.0,Male,hypertension
How can I monitor my blood sugar levels at home?,English,recommendation_for_diabetes,"Use a home glucose meter, follow your doctor’s advice on frequency, and log your results.",Frequent urination,diabetes,Keep a record of blood sugar levels and consult your healthcare provider regularly.,45.0,Female,diabetes
මට ආහාර වේලක් හෘද සෞඛ්‍යය සඳහා සකසන්න.,Sinhala,food_advice,හෘද සෞඛ්‍යය සඳහා අඩු ලවණ සහ ඔමේගා-3 අඩංගු ආහාර භාවිතා කරන්න.,Chest discomfort,heart_disease,Avoid fatty foods and incorporate more vegetables and fish in your meals.,60.0,Male,general
How can I reduce the risk of stroke?,English,recommendation_for_hypertension,"Maintain healthy blood pressure, stop smoking, eat a heart-healthy diet, and exercise regularly.",Dizziness,hypertension,Monitor cholesterol and blood pressure levels regularly.,55.0,Female,hypertension
මට ආහාර පෝෂණ මනාලනය සඳහා උපදෙස් ලබාගන්න.,Sinhala,help_request_for_diabetes,"ආහාර පෝෂණ මනාලනය සඳහා ශාක ආහාර, ග්ලූකෝස් අඩු ආහාර භාවිතා කරන්න.",Frequent urination,diabetes,Focus on eating whole grains and lean proteins while avoiding processed foods.,50.0,Male,diabetes
How can I stay active with diabetes?,English,recommendation_for_diabetes,"Include regular light exercise, such as walking or swimming, to help maintain healthy blood sugar levels.",Fatigue,diabetes,Monitor blood sugar before and after exercise to keep levels stable.,50.0,Female,diabetes
මට දියවැඩියාව හා රුධිර පීඩනය පාලනය කිරීමට උපදෙස් ලබාගන්න.,Sinhala,help_request_for_both,කුඩා පෝෂණ ආහාර සහ නිතර ව්‍යායාම ක්‍රම භාවිතා කරන්න.,Frequent urination,both,"Engage in physical activity and maintain a low-sodium, low-sugar diet.",55.0,Male,both
How can I naturally regulate my blood sugar?,English,recommendation_for_diabetes,"Eat balanced meals, avoid sugary foods, and increase physical activity.",Frequent urination,diabetes,Focus on a diet rich in fiber and lean proteins.,50.0,Male,diabetes
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට උපදෙස් ලබාගන්න.,Sinhala,help_request,මනෝවිද්‍යා ආතතිය අඩු කිරීමට ධ්‍යානය සහ හුස්ම වැඩි ක්‍රියාවන් භාවිතා කරන්න.,Fatigue,stress,Incorporate relaxation techniques like yoga and deep breathing exercises.,40.0,Female,general
How can I lower my cholesterol levels naturally?,English,recommendation_for_hypertension,"Eat more fiber-rich foods, reduce saturated fats, and include more healthy fats in your diet.",Fatigue,hypertension,Avoid trans fats and incorporate heart-healthy fats like olive oil.,55.0,Female,hypertension
මට දියවැඩියාව සඳහා හොඳ ආහාර මොනවාද?,Sinhala,food_advice_for_diabetes,දියවැඩියාව සඳහා අඩු ග්ලයිසෙමික ආහාර සහ පෝෂ්‍ය පෘෂ්ඨ භාවිතා කරන්න.,Frequent urination,diabetes,"Include whole grains, lean meats, and avoid sugary snacks.",50.0,Male,diabetes
How can I lower my blood pressure naturally?,English,recommendation_for_hypertension,"Reduce sodium, increase potassium, and engage in regular aerobic exercises.",Dizziness,hypertension,"Avoid processed foods, engage in regular exercise, and monitor your blood pressure.",60.0,Female,hypertension
මට සීනි රෝගය පාලනය සඳහා උපදෙස් ලබාගන්න.,Sinhala,help_request_for_diabetes,සීනි රෝගය පාලනය සඳහා ශාක ආහාර සහ ග්ලූකෝස් අඩු ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,Focus on low-carb meals and avoid refined sugars.,45.0,Male,diabetes
How can I improve my digestion naturally?,English,recommendation,"Drink water, include fiber-rich foods, and eat smaller, more frequent meals.",Bloating,indigestion,Avoid overeating and drink plenty of fluids.,50.0,Female,general
මට පීඩන මිනුම පාලනය කිරීමට උපදෙස් ලබාගන්න.,Sinhala,help_request_for_hypertension,"පීඩන මිනුම පාලනය කිරීමට නිතර ව්‍යායාම, ලවණ අඩු කෑම සහ මනෝවිද්‍යා ක්‍රම භාවිතා කරන්න.",Headache,hypertension,Engage in light exercise and reduce sodium intake.,55.0,Male,hypertension
How can I maintain healthy blood sugar levels?,English,recommendation_for_diabetes,"Eat a balanced diet, engage in physical activity, and monitor your blood sugar levels regularly.",Frequent urination,diabetes,Maintain consistent meal times and avoid high-glycemic foods.,50.0,Female,diabetes
මට ආහාර වේලක් හෘද සෞඛ්‍යය සඳහා සකසන්න.,Sinhala,food_advice,හෘද සෞඛ්‍යය සඳහා අඩු ලවණ සහ ඔමේගා-3 අඩංගු ආහාර භාවිතා කරන්න.,Chest discomfort,heart_disease,Avoid high-fat and processed foods and include healthy fats like olive oil.,60.0,Male,general
How can I manage my stress levels effectively?,English,recommendation,"Practice mindfulness, engage in physical activity, and maintain a healthy work-life balance.",Fatigue,stress,Regularly engage in relaxation practices and physical activity.,35.0,Male,general
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට මනෝපදේශ ලබාගන්න.,Sinhala,help_request,මනෝවිද්‍යා ආතතිය අඩු කිරීමට ධ්‍යානය සහ යෝගා භාවිතා කරන්න.,Fatigue,stress,Practice relaxation techniques and engage in activities that reduce stress.,40.0,Female,general
How can I prevent diabetic complications?,English,recommendation_for_diabetes,"Keep your blood sugar in control, get regular check-ups, and eat a balanced diet.",Frequent urination,diabetes,Monitor blood sugar and include regular exercise in your routine.,50.0,Male,diabetes
මට අධි රුධිර පීඩනය පාලනය කිරීමට මනෝපදේශ ලබාගන්න.,Sinhala,help_request_for_hypertension,"අධි රුධිර පීඩනය පාලනය කිරීමට නිතර ව්‍යායාම කරන්න, ලවණ අඩු කෑම සහ පෝෂ්‍යදායී ආහාර භාවිතා කරන්න.",Headache,hypertension,Monitor your blood pressure regularly and focus on healthy eating.,55.0,Male,hypertension
How can I manage my blood sugar on a low budget?,English,recommendation_for_diabetes,"Focus on affordable, low-glycemic foods like beans, lentils, and vegetables, and prepare meals at home.",Frequent urination,diabetes,Monitor blood sugar levels and avoid processed sugars and refined carbs.,40.0,Male,diabetes
මට අධි රුධිර පීඩනය පාලනය සඳහා උපදෙස් අවශ්‍යයි.,Sinhala,help_request_for_hypertension,අධි රුධිර පීඩනය පාලනය සඳහා අඩු ලවණ සහ පලා වර්ග භාවිතා කරන්න.,Headache,hypertension,Include potassium-rich foods and reduce sodium intake in your diet.,55.0,Female,hypertension
What are the common signs of diabetes?,English,diagnosis_inquiry_for_diabetes,"Increased thirst, frequent urination, and unexplained weight loss are common signs of diabetes.",Frequent urination,diabetes,Consult with a healthcare provider to get a blood sugar test.,50.0,Male,diabetes
මට ආහාර පෝෂණ මනාලනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_diabetes,ආහාර පෝෂණ මනාලනය සඳහා අඩු ග්ලයිසෙමික ආහාර සහ ශාක ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Choose whole grains, lean proteins, and include more vegetables.",45.0,Male,diabetes
How can I prevent heart disease naturally?,English,recommendation,"Eat a balanced diet, exercise regularly, and reduce stress through mindfulness or yoga.",Chest discomfort,heart_disease,"Avoid trans fats, consume omega-3 rich foods like fish, and limit alcohol intake.",60.0,Male,general
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට මනෝපදේශ ක්‍රම මොනවාද?,Sinhala,recommendation,මනෝවිද්‍යා ආතතිය අඩු කිරීමට ධ්‍යානය සහ යෝගා භාවිතා කරන්න.,Fatigue,stress,Practice mindfulness and relaxation exercises to reduce stress.,40.0,Female,general
How can I control my cholesterol naturally?,English,recommendation,"Eat foods rich in fiber, like oats and beans, and reduce your intake of unhealthy fats like trans fats and saturated fats.",Fatigue,high_cholesterol,"Include more nuts, seeds, and heart-healthy fats in your diet.",55.0,Female,general
මට ආහාර වේලක් හෘද සෞඛ්‍යය සඳහා සකසන්න.,Sinhala,food_advice,හෘද සෞඛ්‍යය සඳහා අඩු ලවණ සහ ඔමේගා-3 අඩංගු ආහාර භාවිතා කරන්න.,Chest discomfort,heart_disease,"Include foods like salmon, avocados, and leafy greens in your diet.",60.0,Male,general
What are the signs of high blood sugar?,English,diagnosis_inquiry_for_diabetes,"Increased thirst, frequent urination, and blurred vision can indicate high blood sugar levels.",Frequent urination,diabetes,Check your blood sugar regularly and consult your doctor for adjustments.,50.0,Male,diabetes
මට දියවැඩියාව සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_diabetes,දියවැඩියාව සඳහා අඩු ග්ලයිසෙමික ආහාර සහ ශාක ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Choose whole grains, lean proteins, and high-fiber foods like vegetables.",45.0,Male,diabetes
How can I control high blood pressure without medication?,English,recommendation_for_hypertension,"Reduce salt intake, increase potassium-rich foods, and practice stress-reduction techniques like yoga and meditation.",Dizziness,hypertension,Monitor blood pressure regularly and limit alcohol intake.,55.0,Male,hypertension
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට උපකාර අවශ්‍යයි.,Sinhala,help_request,මනෝවිද්‍යා ආතතිය අඩු කිරීමට මෘදු ව්‍යායාම සහ ධ්‍යානය භාවිතා කරන්න.,Fatigue,stress,Practice relaxation and get sufficient sleep.,40.0,Female,general
How can I lower blood sugar during the night?,English,recommendation_for_diabetes,"Avoid heavy meals late at night, drink water, and manage stress to prevent blood sugar spikes overnight.",Frequent urination,diabetes,Maintain a healthy sleep routine and avoid sugary snacks before bedtime.,45.0,Male,diabetes
මට දියවැඩියාව සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_diabetes,දියවැඩියාව සඳහා අඩු ග්ලයිසෙමික ආහාර සහ ශාක ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Choose high-fiber, low-sugar foods and avoid refined carbs.",50.0,Female,diabetes
How can I manage hypertension at home?,English,recommendation_for_hypertension,"Limit salt intake, avoid alcohol, exercise regularly, and monitor your blood pressure regularly.",Headache,hypertension,Include more vegetables and reduce sodium-rich foods like canned goods.,60.0,Female,hypertension
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට මනෝපදේශ ක්‍රම මොනවාද?,Sinhala,recommendation,මනෝවිද්‍යා ආතතිය අඩු කිරීමට ධ්‍යානය සහ යෝගා භාවිතා කරන්න.,Fatigue,stress,"Stay active, practice deep breathing, and maintain a balanced lifestyle.",40.0,Female,general
How can I improve my energy levels naturally?,English,recommendation,"Eat smaller, more frequent meals, stay hydrated, and include more fiber-rich foods in your diet.",Fatigue,general,Avoid sugary snacks and eat protein-rich foods like nuts and seeds.,40.0,Male,general
මට දියවැඩියාව සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_diabetes,දියවැඩියාව සඳහා අඩු ග්ලයිසෙමික ආහාර සහ ශාක ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,Choose high-fiber foods like vegetables and legumes in your meals.,45.0,Male,diabetes
How can I improve heart health naturally?,English,recommendation,"Increase physical activity, eat a heart-healthy diet, and reduce stress levels through yoga or meditation.",Chest discomfort,heart_disease,"Include more omega-3 fatty acids, and limit trans fats in your diet.",60.0,Male,general
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට උපකාර අවශ්‍යයි.,Sinhala,help_request,මනෝවිද්‍යා ආතතිය අඩු කිරීමට ධ්‍යානය සහ මෘදු ව්‍යායාම භාවිතා කරන්න.,Fatigue,stress,Engage in light activities and practice relaxation techniques.,40.0,Female,general
How can I manage my diabetes and high blood pressure together?,English,recommendation_for_both,"Monitor both blood sugar and blood pressure regularly, eat a balanced diet, and engage in physical activity.",Frequent urination,both,"Follow a low-sodium, low-sugar diet and consult your healthcare provider regularly.",55.0,Male,both
මට දියවැඩියාව සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_diabetes,දියවැඩියාව සඳහා අඩු ග්ලයිසෙමික ආහාර සහ ශාක ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,Include lean proteins and high-fiber foods like vegetables and oats.,50.0,Male,diabetes
How can I naturally lower my blood sugar?,English,recommendation_for_diabetes,"Eat a diet high in fiber, exercise regularly, and avoid sugary snacks to naturally manage blood sugar levels.",Frequent urination,diabetes,"Choose whole grains, lean proteins, and plenty of vegetables.",50.0,Male,diabetes
මට අධි රුධිර පීඩනය පාලනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_hypertension,අධි රුධිර පීඩනය පාලනය සඳහා අඩු ලවණ සහ ග්ලූකෝස් අඩු ආහාර භාවිතා කරන්න.,Headache,hypertension,Exercise regularly and limit your intake of high-fat foods.,55.0,Male,hypertension
What are the early signs of diabetes?,English,diagnosis_inquiry_for_diabetes,"Symptoms include increased thirst, frequent urination, fatigue, and blurry vision.",Fatigue,diabetes,Regular blood sugar testing and a balanced diet are essential.,45.0,Female,diabetes
මට ආහාර පෝෂණ මනාලනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_diabetes,ආහාර පෝෂණ මනාලනය සඳහා ග්ලූකෝස් අඩු සහ ශාක ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Focus on high-fiber meals, lean proteins, and healthy fats.",40.0,Female,diabetes
How can I reduce high blood pressure naturally?,English,recommendation_for_hypertension,"Avoid excessive sodium, engage in daily physical activity, and practice relaxation techniques like yoga and deep breathing.",Dizziness,hypertension,Focus on low-sodium foods and increase your intake of potassium.,60.0,Male,hypertension
මට දියවැඩියාව සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_diabetes,දියවැඩියාව සඳහා අඩු ග්ලයිසෙමික ආහාර සහ ශාක ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Choose high-fiber meals, avoid sugary foods, and include protein.",50.0,Male,diabetes
What are the signs of high blood pressure?,English,diagnosis_inquiry_for_hypertension,"Symptoms include headaches, dizziness, blurred vision, and shortness of breath.",Headache,hypertension,Monitor your blood pressure regularly and reduce your intake of sodium.,55.0,Female,hypertension
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට මනෝපදේශ ක්‍රම මොනවාද?,Sinhala,recommendation,මනෝවිද්‍යා ආතතිය අඩු කිරීමට ධ්‍යානය සහ මෘදු ව්‍යායාම භාවිතා කරන්න.,Fatigue,stress,Practice relaxation techniques and stay consistent with exercise.,40.0,Male,general
How can I improve digestion after meals?,English,recommendation,"Chew food thoroughly, drink plenty of water, and avoid lying down immediately after eating.",Bloating,indigestion,"Include fiber-rich foods and avoid large, heavy meals.",50.0,Male,general
මට ආහාර වේලක් හෘද සෞඛ්‍යය සඳහා සකසන්න.,Sinhala,food_advice,හෘද සෞඛ්‍යය සඳහා අඩු ලවණ සහ ඔමේගා-3 අඩංගු ආහාර වැනි සැල්මන් සහ වැල්නට් භාවිතා කරන්න.,Chest discomfort,heart_disease,"Focus on healthy fats like omega-3, and reduce processed food intake.",55.0,Male,general
What snacks are good for blood sugar control?,English,food_advice_for_diabetes,"Snack on raw vegetables, boiled eggs, or unsalted nuts for steady blood sugar levels.",Frequent urination,diabetes,"Avoid sugary snacks and focus on high-protein, low-carb options.",45.0,Female,diabetes
මට අධි රුධිර පීඩනය සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_hypertension,අධි රුධිර පීඩනය සඳහා අඩු ලවණ සහ පොටෑසියම් අඩංගු ආහාර භාවිතා කරන්න.,Headache,hypertension,Include potassium-rich foods like bananas and leafy greens to reduce blood pressure.,50.0,Male,hypertension
How can I manage both diabetes and high blood pressure?,English,recommendation_for_both,"Keep blood sugar and blood pressure levels in check, reduce salt and sugar intake, and exercise regularly.",Frequent urination,diabetes_+_hypertension,Focus on a balanced diet and keep active to manage both conditions.,55.0,Male,both
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට උපකාර අවශ්‍යයි.,Sinhala,help_request,මනෝවිද්‍යා ආතතිය අඩු කිරීමට ධ්‍යානය සහ හුස්ම වැඩි ක්‍රියාවන් භාවිතා කරන්න.,Fatigue,stress,Practice mindfulness and incorporate deep breathing into your routine.,40.0,Female,general
What are the signs of dehydration?,English,diagnosis_inquiry,"Symptoms include dry mouth, fatigue, dizziness, and dark-colored urine.",Fatigue,dehydration,"Drink plenty of water throughout the day, especially in hot weather.",50.0,Male,general
මට ආහාර පෝෂණ මනාලනය සඳහා උපදෙස් ලබාගන්න.,Sinhala,help_request_for_diabetes,ආහාර පෝෂණ මනාලනය සඳහා ග්ලූකෝස් අඩු සහ අඩු ලවණ ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Ensure meals are balanced with vegetables, whole grains, and lean proteins.",40.0,Male,diabetes
How can I improve my energy levels naturally?,English,recommendation,"Eat a nutrient-dense breakfast, stay hydrated, and get sufficient sleep to naturally boost energy levels.",Fatigue,general,"Focus on whole foods, avoid excessive caffeine, and stay hydrated.",50.0,Female,general
මට අධි රුධිර පීඩනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_hypertension,අධි රුධිර පීඩනය සඳහා අඩු ලවණ සහ ග්ලූකෝස් අඩු ආහාර භාවිතා කරන්න.,Headache,hypertension,Include high-potassium foods and monitor blood pressure regularly.,60.0,Male,hypertension
What are the signs of low blood sugar?,English,diagnosis_inquiry_for_diabetes,"Symptoms include shaking, sweating, dizziness, and confusion.",Dizziness,diabetes,"Consume a small amount of fast-acting sugar, such as glucose tablets or fruit juice.",40.0,Male,diabetes
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට මනෝපදේශ ක්‍රම මොනවාද?,Sinhala,recommendation,මනෝවිද්‍යා ආතතිය අඩු කිරීමට ධ්‍යානය සහ මෘදු ව්‍යායාම භාවිතා කරන්න.,Fatigue,stress,"Take regular breaks, focus on relaxation techniques, and get adequate sleep.",45.0,Female,general
How can I improve my circulation naturally?,English,recommendation,"Regular physical activity, staying hydrated, and avoiding prolonged sitting can improve circulation.",Cold hands and feet,circulatory_issues,"Engage in light exercise, and avoid sitting for long periods to promote blood flow.",50.0,Male,general
මට ආහාර පෝෂණ මනාලනය සඳහා උපදෙස් ලබාගන්න.,Sinhala,help_request_for_diabetes,ආහාර පෝෂණ මනාලනය සඳහා ග්ලූකෝස් අඩු සහ අඩු ලවණ ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Include whole grains, lean proteins, and plenty of vegetables in your meals.",40.0,Male,diabetes
How can I reduce my blood sugar naturally?,English,recommendation_for_diabetes,"Follow a balanced diet, exercise regularly, and monitor blood glucose levels to reduce blood sugar naturally.",Frequent urination,diabetes,"Avoid sugary foods, increase fiber intake, and drink plenty of water.",45.0,Female,diabetes
මට අධි රුධිර පීඩනය පාලනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_hypertension,අධි රුධිර පීඩනය පාලනය සඳහා අඩු ලවණ සහ ග්ලූකෝස් අඩු ආහාර භාවිතා කරන්න.,Headache,hypertension,Include more potassium-rich foods like spinach and bananas.,50.0,Male,hypertension
What are the early symptoms of hypertension?,English,diagnosis_inquiry_for_hypertension,"Symptoms of hypertension include headaches, dizziness, and blurred vision.",Dizziness,hypertension,Get regular blood pressure check-ups and reduce salt intake to control hypertension.,55.0,Male,hypertension
මට ආහාර පෝෂණ මනාලනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_diabetes,ආහාර පෝෂණ මනාලනය සඳහා ග්ලූකෝස් අඩු සහ ශාක ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,Focus on high-fiber foods and avoid processed sugars and refined carbs.,40.0,Female,diabetes
How can I naturally manage high blood pressure?,English,recommendation_for_hypertension,"Engage in regular physical activity, reduce salt intake, and practice relaxation techniques such as deep breathing.",Dizziness,hypertension,"Increase potassium intake with foods like bananas, sweet potatoes, and spinach.",60.0,Male,hypertension
මට දියවැඩියාව සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_diabetes,දියවැඩියාව සඳහා අඩු ග්ලයිසෙමික ආහාර සහ ශාක ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Choose whole grains, lean proteins, and vegetables. Avoid sugary foods.",50.0,Female,diabetes
How can I lower my cholesterol naturally?,English,recommendation,"Eat more fiber-rich foods like oats, legumes, and fruits, and include healthy fats like avocados and nuts.",Fatigue,high_cholesterol,"Engage in physical activity, avoid processed foods, and increase omega-3 intake.",55.0,Male,general
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට මනෝපදේශ ක්‍රම මොනවාද?,Sinhala,recommendation,මනෝවිද්‍යා ආතතිය අඩු කිරීමට ධ්‍යානය සහ මෘදු ව්‍යායාම භාවිතා කරන්න.,Fatigue,stress,"Practice mindfulness, yoga, and deep breathing exercises to reduce stress.",40.0,Female,general
How can I improve my digestion naturally?,English,recommendation,"Eat slowly, drink plenty of water, and include fiber-rich foods in your diet to improve digestion.",Bloating,indigestion,"Avoid large meals, reduce carbonated drinks, and focus on fiber-rich vegetables.",50.0,Male,general
මට ආහාර වේලක් හෘද සෞඛ්‍යය සඳහා සකසන්න.,Sinhala,food_advice,හෘද සෞඛ්‍යය සඳහා අඩු ලවණ සහ ඔමේගා-3 අඩංගු ආහාර වැනි සැල්මන් සහ වැල්නට් භාවිතා කරන්න.,Chest discomfort,heart_disease,"Avoid fried foods and include foods rich in omega-3 fatty acids, like fish and nuts.",60.0,Male,general
What snacks are good for managing diabetes?,English,food_advice_for_diabetes,"Healthy snacks like unsweetened yogurt, raw vegetables, and boiled eggs are good for managing blood sugar.",Frequent urination,diabetes,"Avoid processed, sugary snacks and focus on whole foods.",45.0,Female,diabetes
මට අධි රුධිර පීඩනය සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_hypertension,අධි රුධිර පීඩනය සඳහා අඩු ලවණ සහ පොටෑසියම් අඩංගු ආහාර භාවිතා කරන්න.,Headache,hypertension,"Focus on foods rich in potassium, such as spinach and sweet potatoes.",55.0,Male,hypertension
How can I manage diabetes and high blood pressure together?,English,recommendation_for_both,"Monitor both blood sugar and blood pressure regularly, reduce salt and sugar intake, and stay active.",Frequent urination,diabetes_+_hypertension,Consult your doctor for a combined diet and exercise plan.,60.0,Male,both
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට උපකාර අවශ්‍යයි.,Sinhala,help_request,මනෝවිද්‍යා ආතතිය අඩු කිරීමට ධ්‍යානය සහ හුස්ම වැඩි ක්‍රියාවන් භාවිතා කරන්න.,Fatigue,stress,Engage in mindfulness and ensure adequate rest to reduce stress.,40.0,Female,general
What are the signs of low blood sugar?,English,diagnosis_inquiry_for_diabetes,"Symptoms of low blood sugar include sweating, shaking, dizziness, and confusion.",Dizziness,diabetes,Eat a small snack containing fast-acting sugar such as glucose tablets or juice.,40.0,Male,diabetes
මට ආහාර පෝෂණ මනාලනය සඳහා උපදෙස් ලබාගන්න.,Sinhala,help_request_for_diabetes,ආහාර පෝෂණ මනාලනය සඳහා ග්ලූකෝස් අඩු සහ අඩු ලවණ ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,Include high-fiber foods and avoid refined sugars and processed snacks.,40.0,Male,diabetes
How can I boost my energy naturally?,English,recommendation,"Eat small, balanced meals throughout the day, stay hydrated, and include complex carbohydrates.",Fatigue,general,"Avoid high-sugar snacks and focus on balanced, nutrient-rich foods.",50.0,Female,general
How can I lower my cholesterol naturally?,English,recommendation,"Include more fiber-rich foods like oats, legumes, and fruits, and engage in regular physical activity to lower cholesterol.",Fatigue,high_cholesterol,Avoid foods high in saturated fats and focus on healthy fats like avocados and nuts.,60.0,Male,general
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට මනෝපදේශ ක්‍රම මොනවාද?,Sinhala,recommendation,මනෝවිද්‍යා ආතතිය අඩු කිරීමට ධ්‍යානය සහ මෘදු ව්‍යායාම භාවිතා කරන්න.,Fatigue,stress,"Engage in yoga, meditation, and regular exercise to manage stress.",45.0,Male,general
How can I prevent heart disease through diet?,English,food_advice,"Focus on whole foods, including fruits, vegetables, lean proteins, and healthy fats. Avoid trans fats and excessive salt.",Chest discomfort,heart_disease,Include omega-3 fatty acids from fish and flaxseeds for heart health.,55.0,Male,general
How can I improve my digestion naturally?,English,recommendation,"Drink water before and after meals, eat slowly, and avoid large meals to prevent indigestion.",Bloating,indigestion,Include fiber-rich foods and avoid spicy or greasy foods.,50.0,Female,general
මට ආහාර පෝෂණ මනාලනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_diabetes,ආහාර පෝෂණ මනාලනය සඳහා ග්ලූකෝස් අඩු සහ ශාක ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Include lean proteins, vegetables, and whole grains to stabilize blood sugar.",45.0,Male,diabetes
How can I manage blood pressure naturally?,English,recommendation_for_hypertension,"Reduce salt intake, engage in regular physical activity, and manage stress to help control high blood pressure.",Headache,hypertension,Include potassium-rich foods like bananas and avoid processed foods.,55.0,Female,hypertension
මට දියවැඩියාව සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_diabetes,දියවැඩියාව සඳහා අඩු ග්ලයිසෙමික ආහාර සහ ශාක ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Focus on whole grains, lean proteins, and vegetables while avoiding sugary snacks.",50.0,Male,diabetes
